"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00190666","BIRCH HILL DAM, MA US","42.6324","-72.1227","260.6","2007","390",,,,"        18","0","-6","0,1219,+",,,"9.9"," ,0,1217, ","1.76"," ,0,0416, ","93","0,0711,+","7020","2","44.45"," ,0","62.6"," ,0","45.2","0","56.9","0","33.5","0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","42.19083","-71.17361","15.2","2007","630",,,,,,"-5","W,1218, ",,,,,"1.78"," ,W,0302, ","95","W,0627, ","6034","0","39.06"," ,W",,,"49.0","W","60.6","W","37.5","W"
"USC00194580","MAYNARD 2, MA US","42.4293","-71.4425","62.5","2007","687",,"       76",,"        16","0","0","0,1219,+","18"," ,0,1222,+","11.5"," ,0,0317, ","2.63"," ,0,0416, ","98","0,0826, ","6246","2","44.93"," ,0","62.8"," ,0","48.6","0","59.7","0","37.6","0"
"USC00196486","PLYMOUTH KINGSTON, MA US","41.982","-70.696","13.7","2007",,,"       14",,"         8","0","4","0,0126, ","11"," ,0,1213, ","11.0"," ,0,1213, ","2.87"," ,0,0317, ",,,,,"44.74"," ,0","31.9"," ,0",,,,,"41.7","0"
"USW00014775","WESTFIELD BARNES MUNICIPAL AIRPORT, MA US","42.15778","-72.71611","82.6","2007","648",,,,,,"-4","W,0207, ",,,,,"3.50"," ,W,0728, ","95","W,0627,+","6267","6","43.22"," ,W",,,"48.5","W","59.5","W","37.5","W"
"USC00194105","LAWRENCE, MA US","42.6993","-71.1659","15.2","2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000MCAP","CAPE COD MASSACHUSETTS, MA US","41.975","-70.0253","45.7","2007","587",,,,,,"7","U,0126, ",,,,,,,"92","U,0525, ",,,,,,,"51.0","U","58.2","U","43.8","U"
"USC00194502","MARBLEHEAD, MA US","42.5007","-70.8644","25.6","2007","669",,"       28",,"         7","0","0","0,0127, ","14"," ,0,1221,+","10.5"," ,0,1216, ","2.60"," ,0,0214, ","96","0,0909,+",,,"43.30"," ,0","35.5"," ,0","50.1","0","58.2","0","42.0","0"
"USC00194744","MIDDLETON, MA US","42.5934","-71.0187","33.5","2007","846",,,,"        12","0","1","0,0125, ",,,"12.0"," ,0,1216, ","2.90"," ,0,0416, ","97","0,0528, ","5264","5","43.15"," ,0","47.2"," ,0","51.3","0","61.8","0","40.7","0"
"USC00190860","BROCKTON, MA US","42.04756","-71.00819","22.9","2007","642",,"       15",,"         0","0","-4","0,0126, ","12"," ,0,1213, ","0.1"," ,0,0122, ","2.46"," ,0,0317, ","93","0,0627, ","5761","6","49.56"," ,0","0.1"," ,0","49.5","0","59.7","0","39.3","0"
"USC00190998","BUFFUMVILLE LAKE, MA US","42.1163","-71.9074","158.5","2007",,,,,"         8","0",,,,,"12.3"," ,0,1217, ",,,,,,,,,"46.5"," ,0",,,,,,
"USW00054756","ORANGE MUNICIPAL AIRPORT, MA US","42.57","-72.29111","169.2","2007","517",,,,,,"-8","W,1218, ",,,,,"1.37"," ,W,0302, ","94","W,0627,+","6837","2","40.87"," ,W",,,"46.7","W","58.0","W","35.4","W"
"USC00193624","HINGHAM, MA US","42.2269","-70.9125","10.7","2007","806",,"       44",,"        15","0","3","0,0126, ","13"," ,0,1221,+","8.8"," ,0,1213, ","2.65"," ,0,0317, ","97","0,0803,+","5609","4","43.51"," ,0","42.9"," ,0","50.8","0","60.4","0","41.3","0"
"USC00193229","GREENFIELD NUMBER 3, MA US","42.5719","-72.5975","39.6","2007",,,"       76",,"        14","0",,,"17"," ,0,1217, ","11.0"," ,0,0317, ","2.75"," ,0,0416, ","94","0,0628, ","6236","7","49.26"," ,0","67.8"," ,0",,,"58.5","0",,
"USC00196938","ROCHESTER, MA US","41.7849","-70.9176","19.8","2007","727",,"        7",,"         3","0","2","0,0127,+","9"," ,0,1214, ","9.0"," ,0,1214, ","3.57"," ,0,0317, ","95","0,0803, ","5437","6","47.79"," ,0","17.0"," ,0","50.6","0","60.2","0","40.9","0"
"USC00193505","HAVERHILL, MA US","42.7594","-71.0602","6.1","2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2007","882",,,,"         9","0","3","0,0126, ",,,"10.1"," ,0,1213, ","2.32"," ,0,0728, ","96","0,0825,+","5407","7","39.48"," ,0","43.3"," ,0","51.6","0","59.3","0","43.9","0"
"USC00190190","ASHBURNHAM, MA US","42.6178","-71.9159","337.7","2007",,,"      104",,"        20","0",,,"20"," ,0,1221, ","11.5"," ,0,0317, ","3.47"," ,0,0416, ",,,,,"48.93"," ,0","80.9"," ,0",,,,,,
"USC00195285","NEWBURYPORT, MA US","42.83203","-70.91518","16.8","2007",,,"       73",,"        20","0",,,"22"," ,0,1223,+","14.0"," ,0,0317, ","3.70"," ,0,0416, ",,,,,"51.93"," ,0","69.3"," ,0",,,,,,
"USC00198278","SUNDERLAND, MA US","42.4448","-72.5529","70.1","2007",,,"       75",,"        12","0",,,"13"," ,0,1217,+","10.8"," ,0,0317, ","2.38"," ,0,0416, ",,,,,"46.10"," ,0","53.3"," ,0",,,,,,
"USC00198793","WARE, MA US","42.2623","-72.2482","121.9","2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","42.47","-71.28944","40.5","2007","700",,,,,,"-1","W,1218, ",,,,,"2.12"," ,W,0214, ","97","W,0825, ","6161","6","40.57"," ,W",,,"49.0","W","59.9","W","38.0","W"
"USC00190192","ASHBURNHAM NORTH, MA US","42.6617","-71.9359","349.3","2007",,,"       31",,"        20","0",,,"14"," ,0,1216, ","11.0"," ,0,0317, ",,,,,,,,,"69.1"," ,0",,,,,,
"USC00195524","NORTHBRIDGE 2, MA US","42.11504","-71.676","96.0","2007",,,"       43",,"         9","0",,,"14"," ,0,1216, ","8.7"," ,0,1214, ","3.14"," ,0,0416, ",,,,,"45.28"," ,0","27.6"," ,0",,,,,,
"USC00190593","BEVERLY, MA US","42.588","-70.8371","19.8","2007",,,,,,,,,,,,,"2.57"," ,0,0416, ",,,,,"44.91"," ,0",,,,,,,,
"USC00194313","LOWELL, MA US","42.6409","-71.3637","33.5","2007","748",,,,"        15","0","-1","0,0307, ",,,"10.5"," ,0,0317, ","2.56"," ,0,0416, ","101","0,0628, ","6286","3","45.59"," ,0","66.3"," ,0","48.5","0","59.8","0","37.2","0"
"USC00198757","WALPOLE 2, MA US","42.1609","-71.2461","51.8","2007","796",,"       51",,"        14","0","1","0,0126, ","16"," ,0,1221, ","10.5"," ,0,1214, ","3.00"," ,0,0416, ","94","0,0908,+","5719","3","43.56"," ,0","49.3"," ,0","50.4","0","60.3","0","40.7","0"
"USC00193821","HYANNIS, MA US","41.6649","-70.3038","18.3","2007",,,,,"         3","0",,,,,"5.0"," ,0,1214, ",,,,,,,"44.82"," ,0","9.0"," ,0",,,,,,
"USC00194711","MIDDLEBORO, MA US","41.8819","-70.9085","13.7","2007",,,,,"         7","0",,,,,"12.0"," ,0,1213, ",,,,,,,,,"31.6"," ,0",,,,,,
"USW00094624","CHATHAM MUNICIPAL AIRPORT, MA US","41.6875","-69.99333","20.7","2007","566",,,,,,"9","W,0126, ",,,,,"3.14"," ,W,1103, ","90","W,0525, ","5260","0","36.48"," ,W",,,"51.3","W","58.1","W","44.4","W"
"USW00094746","WORCESTER, MA US","42.2706","-71.8731","304.8","2007","626",,,,"        16","0","-3","0,0126, ",,,"11.3"," ,0,0316, ","2.79"," ,0,0516, ","91","0,0908,+","6420","6","43.36"," ,0","75.9"," ,0","48.2","0","56.6","0","39.8","0"
"USC00192451","EAST WAREHAM, MA US","41.7653","-70.6697","9.1","2007","594",,"       14",,"         6","0","4","0,0126, ","8"," ,0,1216,+","8.6"," ,0,1214, ","2.94"," ,0,0317, ","91","0,0525, ","5646","6","45.89"," ,0","22.3"," ,0","50.4","0","59.1","0","41.7","0"
"USW00054768","NORTH ADAMS HARRIMAN AIRPORT, MA US","42.69728","-73.16967","195.1","2007","430",,,,,,"-7","W,0309, ",,,,,"3.10"," ,W,0911, ","93","W,0825, ","6698","9","45.14"," ,W",,,"47.0","W","57.5","W","36.5","W"
"USW00054769","PLYMOUTH MUNICIPAL AIRPORT, MA US","41.90972","-70.72944","45.4","2007","604",,,,,,"2","W,0126, ",,,,,"2.26"," ,W,0911, ","93","W,0627, ","5904","1","46.63"," ,W",,,"49.5","W","59.2","W","39.9","W"
"USC00190408","BARRE FALLS DAM, MA US","42.428","-72.0275","251.5","2007","312",,"       78",,"        17","0","-5","0,0207,+","10"," ,0,1221,+","8.3"," ,0,1214, ","2.15"," ,0,0416, ","91","0,0526, ",,,"45.22"," ,0","48.0"," ,0","44.7","0","56.0","0","33.3","0"
"USC00192107","EAST BRIMFIELD LAKE, MA US","42.1103","-72.1269","213.4","2007",,,"       74",,"        19","0",,,"13"," ,0,1221,+","10.5"," ,0,1214, ","3.96"," ,0,0416, ",,,,,"42.71"," ,0","69.3"," ,0",,,,,,
"USW00004780","FITCHBURG MUNICIPAL AIRPORT, MA US","42.55194","-71.75583","106.1","2007","706",,,,,,"-6","W,1218, ",,,,,"2.03"," ,W,0415, ","94","W,0908,+","6102","8","41.82"," ,W",,,"48.8","W","59.2","W","38.4","W"
"USC00195175","NATICK, MA US","42.2825","-71.344","54.9","2007","621",,,,,,"1","0,0126,+",,,,,"2.38"," ,0,0415, ","93","0,0908,+","6257","2","43.58"," ,0",,,"48.6","0","59.0","0","38.2","0"
"USC00196783","READING, MA US","42.524","-71.1249","33.5","2007","688",,"       68",,"        14","0","2","0,0309,+","19"," ,0,1220, ","11.0"," ,0,1216,+","2.43"," ,0,0415, ","95","0,0825, ","5990","8","47.83"," ,0","64.1"," ,0","49.4","0","58.7","0","40.0","0"
"USC00199972","WORTHINGTON, MA US","42.3869","-72.921","391.7","2007","322",,"      106",,"        24","0","-8","0,0309, ","18"," ,0,1216, ","13.0"," ,0,0317, ","3.78"," ,0,0416, ","90","0,0826,+","7284","6","53.64"," ,0","93.6"," ,0","44.9","0","55.8","0","34.0","0"
"USW00014753","BLUE HILL LCD, MA US","42.2123","-71.1137","190.5","2007","781",,"       55",,"        11","W","0","W,0126, ","18"," ,W,1221, ","9.2"," ,W,1213, ","2.09"," ,W,0214, ","94","W,0825,+","5888","9","45.78"," ,W","54.5"," ,W","50.0","W","58.7","W","41.3","W"
