"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00265352","MONTELLO 2 NE, NV US","41.278","-114.1705","1472.2","2009","334",,,,"        11","0","-21","0,1211,+",,,"4.0"," ,0,0106, ","0.98"," ,0,0824, ","103","0,0724,+","7321","1","10.16"," ,0","21.6"," ,0","44.7","0","62.7","0","26.6","0"
"USR0000NBUF","BUFFALO CREEK NEVADA, NV US","40.5819","-119.79","851.6","2009","1209",,,,,,"-10","U,1209, ",,,,,,,"104","U,0820, ","4971","9",,,,,"53.7","U","67.5","U","39.8","U"
"USC00264935","MCDERMITT, NV US","41.9954","-117.7201","1350.3","2009","430",,"       23",,"        13","0","-14","0,1209, ","4"," ,0,1214,+","4.0"," ,0,1212, ","1.01"," ,0,0615, ","101","0,0719, ","6805","7","9.05"," ,0","24.4"," ,0","46.6","0","63.1","0","30.0","0"
"USC00263964","INDIAN CREEK RANCH DUCKWATER 29 WNW, NV US","39.1039","-116.2037","2273.8","2009","166",,,,"        21","0","-5","0,1208,+",,,"12.0"," ,0,0416, ",,,"92","0,0821,+",,,,,"73.2"," ,0","45.6","0","60.1","0","31.1","0"
"USC00261660","CHARLESTON JARBIDGE 17 SSW, NV US","41.6814","-115.5289","1819.0","2009",,,,,,,"-23","0,1210,+",,,,,,,"94","0,0821, ",,,,,,,"37.2","0","56.3","0","18.1","0"
"USS0019K04S","MARLETTE LAKE, NV US","39.16","-119.9","2401.8","2009","7",,"      183",,,,"-10","T,0210, ","60"," ,T,0304, ",,,"1.80"," ,T,1212,+","80","T,0728, ","8093","1","26.65"," ,T",,,"42.0","T","52.0","T","31.9","T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2009","0",,"      155",,,,"2","T,0214, ","41"," ,T,0213, ",,,"1.10"," ,T,1212,+","78","T,0728, ","7742","9","18.07"," ,T",,,"43.3","T","53.7","T","33.0","T"
"US1NVCH0005","FALLON 0.8 WSW, NV US","39.47118","-118.79148","1213.1","2009",,,,,"         3","N",,,,,"6.3"," ,N,1207, ","0.54"," ,N,1207, ",,,,,"5.19"," ,N","12.7"," ,N",,,,,,
"USC00266791","RENO WEATHER FORECAST OFFICE, NV US","39.5683","-119.7956","1520.0","2009","1037",,"       30",,"         8","0","-1","0,1208, ","16"," ,0,1212, ","8.3"," ,0,1212, ","0.95"," ,0,1013, ","101","0,0718, ","4872","7","7.57"," ,0","37.1"," ,0","53.4","0","65.6","0","41.1","0"
"USC00264391","LAMOILLE 2 N, NV US","40.7441","-115.4856","1752.6","2009","58",,"       93",,"        26","0","-21","0,1210, ","15"," ,0,0210, ","15.0"," ,0,0210, ","1.12"," ,0,0416, ","91","0,0822,+",,,"16.86"," ,0","106.0"," ,0","41.0","0","57.3","0","24.6","0"
"USR0000NCUR","CURRANT CREEK NEVADA, NV US","38.7586","-115.4128","1700.8","2009","968",,,,,,"3","U,1209,+",,,,,,,"100","U,0718,+","5180","0",,,,,"52.6","U","65.2","U","39.9","U"
"USR0000NCED","CEDAR PASS NEVADA, NV US","39.7569","-114.1658","2190.0","2009","489",,,,,,"-2","U,1206, ",,,,,,,"97","U,0821, ","6399","9",,,,,"47.7","U","60.8","U","34.5","U"
"USC00268186","TOPAZ LAKE, NV US","38.7395","-119.518","1613.0","2009","605",,"       12",,"         4","0","-14","0,1209, ","6"," ,0,1208,+","4.0"," ,0,1207, ","0.53"," ,0,1013, ","100","0,0726, ","5556","9","1.24"," ,0","9.0"," ,0","50.4","0","66.3","0","34.5","0"
"USC00268761","VIRGINIA CITY, NV US","39.3128","-119.6483","1932.4","2009",,,"       18",,"         7","0",,,"6"," ,0,0304, ","4.0"," ,0,0303, ","1.21"," ,0,0303, ",,,,,"7.17"," ,0","16.1"," ,0",,,,,,
"USC00265132","MIDDLEGATE LOWERY, NV US","39.293","-118.0196","1402.1","2009",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2009","464",,"       34",,"        10","0","-10","0,1210, ","8"," ,0,0415, ","15.5"," ,0,0415, ","0.80"," ,0,0606, ","104","0,0718, ","6100","1","11.17"," ,0","35.6"," ,0","48.6","0","65.5","0","31.7","0"
"USR0000NSTA","STAG MOUNTAIN NEVADA, NV US","41.5178","-115.3928","2069.6","2009","315",,,,,,"-5","U,1209, ",,,,,,,"94","U,0820, ","7398","1",,,,,"44.1","U","55.2","U","33.0","U"
"USC00261684","CHERRY CREEK, NV US","39.90056","-114.88611","1863.5","2009",,,,,,,,,,,,,"0.84"," ,0,0425, ",,,"5707","6","11.26"," ,0",,,,,,,,
"USC00264039","JARBIDGE 7 N, NV US","41.9797","-115.4327","1844.0","2009","192",,,,"        27","0","-7","0,1210, ",,,"12.0"," ,0,0217, ","1.10"," ,0,0602, ","93","0,0822, ","7270","0","16.41"," ,0","94.0"," ,0","44.1","0","57.1","0","31.2","0"
"USW00003170","EUREKA AIRPORT, NV US","39.6013","-116.0055","1809.3","2009","307",,,,,,"-18","0,0104, ",,,,,"0.66"," ,0,0614, ","98","0,0821,+","7137","0","10.76"," ,0",,,"45.0","0","61.8","0","28.3","0"
"USC00264950","MCGILL, NV US","39.4136","-114.7734","1911.1","2009","397",,"       56",,"        14","0","-13","0,1211,+","9"," ,0,1231,+","5.5"," ,0,1213, ","1.00"," ,0,1020, ","101","0,0718, ","6388","9","13.04"," ,0","43.1"," ,0","46.7","0","62.4","0","30.9","0"
"USR0000NTEX","TEXAS SPRINGS NEVADA, NV US","41.8017","-118.4508","1755.6","2009","652",,,,,,"1","U,1208, ",,,,,,,"95","U,0718, ","6233","7",,,,,"47.7","U","56.5","U","38.9","U"
"USC00269168","WINNEMUCCA 3 SSW, NV US","40.9386","-117.7513","1327.4","2009","684",,"       36",,"         9","0","-14","0,1209, ","5"," ,0,1214,+","5.4"," ,0,1212, ","0.62"," ,0,0124, ","103","0,0719, ","5990","8","7.19"," ,0","25.4"," ,0","49.6","0","65.2","0","33.9","0"
"USW00004139","DENIO 52 WSW, NV US","41.8484","-119.6357","1981.2","2009","103",,,,,,"-9","R,1208, ",,,,,"1.43"," ,R,0408, ","91","R,0820, ","8052","1","15.32"," ,R",,,"42.0","R","53.1","R","30.9","R"
"USR0000NCCP","CATTLE CAMP NEVADA, NV US","38.9036","-114.8142","2225.0","2009","183",,,,,,"-18","U,0104, ",,,,,,,"96","U,0821,+","7405","2",,,,,"44.1","U","61.3","U","27.0","U"
"USR0000NFIS","FISH SPRINGS NEVADA, NV US","38.9361","-119.6519","1560.6","2009","748",,,,,,"-1","U,1208, ",,,,,,,"98","U,0717, ","5014","6",,,,,"52.5","U","65.9","U","39.0","U"
"USR0000NBRA","BRAWLEY PEAKS NEVADA, NV US","38.2611","-118.8803","2462.8","2009",,,,,,,"0","U,1208, ",,,,,,,,,,,,,,,,,,,"34.0","U"
"USR0000NDES","DESATOYA MOUNTAIN NEVADA, NV US","39.3011","-117.5844","1889.8","2009","279",,,,,,"-24","U,1209, ",,,,,,,"100","U,0717, ","6823","5",,,,,"46.0","U","63.1","U","29.0","U"
"US1NVCK0010","EAST LAS VEGAS 1.3 NNW, NV US","36.11281204","-115.05428314","516.9","2009",,,,,,,,,,,,,"0.65"," ,N,0208, ",,,,,"1.34"," ,N",,,,,,,,
"USS0017H02S","BUCKSKIN LOWER, NV US","41.75","-117.53","2107.7","2009","148",,"      187",,,,"-6","T,0127,+","36"," ,T,0306, ",,,"0.90"," ,T,0415,+","102","T,0820, ","7517","9","23.93"," ,T",,,"43.6","T","54.7","T","32.6","T"
"US1NVCK0016","LAS VEGAS 6.3 WSW, NV US","36.161579","-115.321193","899.2","2009",,,,,,,,,,,,,"0.89"," ,N,0208, ",,,,,"2.74"," ,N",,,,,,,,
"USC00260800","BEOWAWE 49 S U OF N RANCH, NV US","39.9004","-116.5876","1749.6","2009","200",,,,"        13","0","-18","0,1210, ",,,"4.0"," ,0,1213, ","0.83"," ,0,0611, ","99","0,0718, ",,,"10.17"," ,0","36.7"," ,0","45.5","0","63.8","0","27.3","0"
"USS0015K03S","DIAMOND PEAK, NV US","39.56","-115.84","2448.5","2009","113",,"      168",,,,"-1","T,1208, ","35"," ,T,0416, ",,,"1.80"," ,T,0415, ","84","T,0821,+","7173","2","24.46"," ,T",,,"44.4","T","54.4","T","34.4","T"
"USR0000NDEA","DEAD CAMEL MOUNTAIN NEVADA, NV US","39.2636","-118.9433","1368.6","2009","1090",,,,,,"-11","U,1209, ",,,,,,,"103","U,0820,+","4971","6",,,,,"53.3","U","67.7","U","39.0","U"
"USC00263512","HAWTHORNE, NV US","38.5155","-118.6208","1341.1","2009","1223",,,,"         0","0","6","0,1209, ",,,"0.5"," ,0,0126, ","0.84"," ,0,0823, ","102","0,0722,+",,,"4.65"," ,0","0.5"," ,0","55.2","0","68.6","0","41.8","0"
"USC00260125","ALAN BIBLE VISITOR CENTER, NV US","36.01","-114.7963","500.2","2009","4097",,,,,,"30","0,1210,+",,,,,"0.52"," ,0,1208, ","117","0,0729, ",,,"2.05"," ,0",,,"71.4","0","83.5","0","59.4","0"
"USW00003160","MERCURY DESERT ROCK AIRPORT, NV US","36.6206","-116.0278","984.5","2009","2380",,"        0",,,,"12","0,1209, ","0","T,0,1208, ",,,"0.48"," ,0,0207, ","109","0,0718, ","2775","8","1.88"," ,0",,,"63.3","0","77.1","0","49.5","0"
"US1NVCK0020","LAS VEGAS 6.0 SSW, NV US","36.126864","-115.268005","773.9","2009",,,,,,,,,,,,,"0.76"," ,N,0208, ",,,,,"2.33"," ,N",,,,,,,,
"USS0015J06S","LAMOILLE NUMBER 3, NV US","40.65","-115.38","2347.0","2009","35",,"      190",,,,"-8","T,1208, ","45"," ,T,0416, ",,,"1.10"," ,T,0322,+","83","T,0821, ","7986","7","31.54"," ,T",,,"41.8","T","52.1","T","31.6","T"
"USR0000NBAR","BARREL SPRINGS NEVADA, NV US","41.9111","-119.9389","1778.5","2009","241",,,,,,"-6","U,0127,+",,,,,,,"95","U,0820, ","7003","6",,,,,"45.4","U","57.3","U","33.4","U"
"USC00262780","FALLON EXPERIMENT STATION, NV US","39.4572","-118.7811","1208.5","2009",,,,,"         8","0",,,,,"8.0"," ,0,1208, ","0.43"," ,0,0124, ",,,"5062","2","3.89"," ,0","16.6"," ,0",,,,,,
"USC00265371","MOORMAN RANCH RUTH 16 WNW, NV US","39.35836","-115.32959","1993.1","2009",,,"       82",,"        20","0",,,"12"," ,0,0106, ","6.5"," ,0,0207, ","0.69"," ,0,0207, ",,,"7642","7","10.02"," ,0","56.4"," ,0",,,,,,
"USR0000NBAK","BAKER FLAT NEVADA, NV US","39.0019","-114.2175","2084.8","2009","500",,,,,,"-3","U,1206, ",,,,,,,"92","U,0821,+","6559","0",,,,,"46.9","U","58.3","U","35.5","U"
"USR0000NANT","ANTELOPE LAKE NEVADA, NV US","41.6847","-116.7644","1664.2","2009","535",,,,,,"-3","U,0127,+",,,,,,,"99","U,0820,+","6576","5",,,,,"47.2","U","60.5","U","34.0","U"
"USC00267612","SMITH 6 N, NV US","38.8822","-119.3511","1524.0","2009","559",,,,"         0","0","-15","0,1209, ",,,"0.0"," ,0,1231,+","1.56"," ,0,1013, ","100","0,0820,+","5705","7","6.61"," ,0","0.0"," ,0","49.5","0","66.6","0","32.5","0"
"USC00268822","WABUSKA 6 SE, NV US","39.0747","-119.1189","1310.6","2009",,,"       26",,"         0","0",,,"4"," ,0,1214,+","0.0"," ,0,1231,+","1.06"," ,0,1013, ","103","0,0725,+","5535","2","6.27"," ,0","0.0"," ,0",,,"69.2","0",,
"USS0017H08S","GRANITE PEAK, NV US","41.67","-117.57","2603.9","2009","25",,"      197",,,,"-4","T,1208, ","52"," ,T,0416, ",,,"1.10"," ,T,1013, ","80","T,0718, ","8876","1","24.84"," ,T",,,"39.6","T","47.1","T","32.2","T"
"USC00264698","LOVELOCK, NV US","40.17","-118.4776","1211.0","2009",,,"       26",,"         9","0",,,"6"," ,0,1213,+","6.0"," ,0,1207, ","0.71"," ,0,0613, ",,,,,"5.37"," ,0","21.4"," ,0",,,,,,
"USS0015J09S","GREEN MOUNTAIN, NV US","40.38","-115.53","2438.4","2009","28",,"      164",,,,"-1","T,1208,+","53"," ,T,0209, ",,,"1.60"," ,T,0415, ","82","T,0821, ","7899","6","31.22"," ,T",,,"42.2","T","50.9","T","33.4","T"
"USS0016H02S","JACK CREEK UPPER, NV US","41.55","-116.01","2209.8","2009","96",,"      208",,,,"-5","T,0127, ","59"," ,T,0408, ",,,"1.50"," ,T,0106, ","85","T,0821,+","7746","1","29.24"," ,T",,,"42.7","T","51.9","T","33.5","T"
"USS0014K02S","BERRY CREEK, NV US","39.32","-114.62","2773.7","2009","0",,"      228",,,,"-10","T,1209, ","75"," ,T,0209, ",,,"1.50"," ,T,0124, ","76","T,0821,+","9607","2","33.06"," ,T",,,"37.6","T","47.6","T","27.6","T"
"USS0019K08S","BIG MEADOW, NV US","39.46","-119.94","2514.3","2009","10",,"      185",,,,"-4","T,1207, ","68"," ,T,0304, ",,,"2.80"," ,T,1013, ","80","T,0727, ","8073","2","28.25"," ,T",,,"42.0","T","51.2","T","32.7","T"
