"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00313638","GREENVILLE, NC US","35.64","-77.3984","9.8","2007","2072",,"        0",,"         0","0","17","0,0206, ","0"," ,0,1231,+","0.0"," ,0,1231,+","2.99"," ,0,0415, ","101","0,0821,+","2819","3","35.70"," ,0","0.0"," ,0","63.0","0","74.4","0","51.5","0"
"USC00311579","CATAWBA 3 NNW, NC US","35.74444","-81.08472","274.3","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","2.40"," ,0,0101, ",,,,,"29.91"," ,0","0.0"," ,0",,,,,,
"USC00310241","ARCOLA, NC US","36.2911","-77.9822","100.6","2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00314962","LEWISTON, NC US","36.1325","-77.1708","15.2","2007","1676",,"        0",,"         0","0","12","0,0206, ","0"," ,0,1231,+","0.0"," ,0,1231,+","2.00"," ,0,0603, ","107","0,0809, ","3126","5","33.68"," ,0","0.0"," ,0","60.5","0","73.8","0","47.3","0"
"USC00316349","OCRACOKE, NC US","35.1075","-75.9872","1.2","2007","1912",,"        0",,"         0","0","22","0,0207, ","0","T,0,0407, ","0.0","T,0,0407, ","3.01"," ,0,1026, ","92","0,0822, ","2424","9","39.44"," ,0","0.0","T,0","63.5","0","70.1","0","56.9","0"
"USC00317202","REIDSVILLE 2 NW, NC US","36.3796","-79.6944","271.3","2007","1636",,"        0",,"         0","0","11","0,0206, ","0"," ,0,1231,+","0.0"," ,0,1231,+","2.90"," ,0,0730, ","99","0,0822,+","3625","8","37.89"," ,0","0.0"," ,0","59.7","0","70.8","0","48.6","0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","35.2236","-80.9552","221.9","2007","1893",,"        0",,"         1","0","17","0,0206,+","0","T,0,0201, ","1.0"," ,0,0201, ","2.17"," ,0,0301, ","104","0,0810,+","3088","7","28.61"," ,0","1.0"," ,0","62.0","0","74.0","0","50.1","0"
"USC00314055","HIGHLANDS, NC US","35.05646","-83.19822","1173.5","2007","365",,"        0",,"         0","0","3","0,0129, ","0"," ,0,1231,+","0.0"," ,0,1231,+","4.32"," ,0,1023, ","89","0,0822,+","5047","7","59.16"," ,0","0.0"," ,0","52.7","0","63.6","0","41.8","0"
"USR0000NJCY","JACKSON CO NORTH CAROLINA, NC US","35.3167","-82.2","853.4","2007","983",,,,,,"8","U,0129, ",,,,,,,"97","U,0822, ","3811","3",,,,,"57.5","U","69.7","U","45.4","U"
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2007","1818",,,,,,"13","W,0206, ",,,,,"2.14"," ,W,0415, ","104","W,0809, ","3291","1","29.98"," ,W",,,"61.2","W","72.9","W","49.5","W"
